run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
host-wasm-20260428-015348,WASM,WASM-migration,no,1,,,2172,1,165,167,17.38,x86_64,x86_64,True,True,host_simplest_example;module=3mm_with_cr.wasm,2026-04-28T01:53:48.790266,host,0,1,348,0,0
host-wasm-20260428-015428,WASM,WASM-migration,no,1,,,2156,1,263,265,17.25,x86_64,x86_64,True,True,host_simplest_example;module=floyd-warshall_with_cr.wasm,2026-04-28T01:54:28.640228,host,0,1,546,0,0
28-04-2026-host-cold-0000,WASM,cold,no,1,,,2015,6575,1987,8563,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:53:43.415380,,0,1,14539,0,0
28-04-2026-host-cold-0001,WASM,cold,no,1,,,2015,5527,1984,7512,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:54:03.225825,,0,1,13347,0,0
28-04-2026-host-cold-0002,WASM,cold,no,1,,,2015,5574,1983,7558,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:54:22.931189,,0,1,13424,0,0
28-04-2026-host-cold-0003,WASM,cold,no,1,,,2016,5849,1977,7827,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:54:43.525856,,0,1,13642,0,0
28-04-2026-host-cold-0004,WASM,cold,no,1,,,2016,5506,1933,7440,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:55:03.433607,,0,1,13550,0,0
28-04-2026-host-cold-0005,WASM,cold,no,1,,,2014,5741,1979,7721,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:55:23.731468,,0,1,13962,0,0
28-04-2026-host-cold-0006,WASM,cold,no,1,,,2016,5856,2103,7960,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:55:44.838709,,0,1,13815,0,0
28-04-2026-host-cold-0007,WASM,cold,no,1,,,2016,5598,2042,7641,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:56:04.723493,,0,1,13530,0,0
28-04-2026-host-cold-0008,WASM,cold,no,1,,,2018,5522,1998,7521,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:56:24.673995,,0,1,13542,0,0
28-04-2026-host-cold-0009,WASM,cold,no,1,,,2017,5802,1972,7775,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:56:45.359415,,0,1,13661,0,0
28-04-2026-host-cold-0010,WASM,cold,no,1,,,2017,5595,2015,7611,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:57:05.316973,,0,1,13637,0,0
28-04-2026-host-cold-0011,WASM,cold,no,1,,,2017,5748,2015,7764,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:57:25.429286,,0,1,13690,0,0
28-04-2026-host-cold-0012,WASM,cold,no,1,,,2019,5859,1994,7854,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:57:46.190992,,0,1,13757,0,0
28-04-2026-host-cold-0013,WASM,cold,no,1,,,2016,5631,1984,7616,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:58:05.881351,,0,1,13414,0,0
28-04-2026-host-cold-0014,WASM,cold,no,1,,,2019,5660,2040,7701,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:58:26.520233,,0,1,13778,0,0
28-04-2026-host-cold-0015,WASM,cold,no,1,,,2016,5914,2060,7975,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:58:47.564097,,0,1,14025,0,0
28-04-2026-host-cold-0016,WASM,cold,no,1,,,2017,6173,1986,8160,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:59:08.482216,,0,1,14403,0,0
28-04-2026-host-cold-0017,WASM,cold,no,1,,,2019,5730,2061,7792,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:59:29.979805,,0,1,14460,0,0
28-04-2026-host-cold-0018,WASM,cold,no,1,,,2019,6200,2038,8239,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T14:59:51.039837,,0,1,14411,0,0
28-04-2026-host-cold-0019,WASM,cold,no,1,,,2017,5564,1954,7519,0.00,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:00:11.155868,,0,1,13617,0,0
28-04-2026-direct-cold-0000,WASM,cold,no,1,,,2018,2825,2416,5242,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:00:29.530714,,0,1,11823,0,0
28-04-2026-direct-cold-0001,WASM,cold,no,1,,,2018,2637,2264,4902,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:00:47.255901,,0,1,10952,0,0
28-04-2026-direct-cold-0002,WASM,cold,no,1,,,2018,2499,1998,4498,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:01:04.032661,,0,1,10393,0,0
28-04-2026-direct-cold-0003,WASM,cold,no,1,,,2019,2655,2366,5022,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:01:21.640691,,0,1,11278,0,0
28-04-2026-direct-cold-0004,WASM,cold,no,1,,,2020,2729,1960,4690,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:01:39.214454,,0,1,10844,0,0
28-04-2026-direct-cold-0005,WASM,cold,no,1,,,2019,2502,1986,4489,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:01:55.875446,,0,1,10334,0,0
28-04-2026-direct-cold-0006,WASM,cold,no,1,,,2018,2523,1968,4492,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:02:12.495965,,0,1,10296,0,0
28-04-2026-direct-cold-0007,WASM,cold,no,1,,,2019,2474,1976,4451,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:02:29.276102,,0,1,10313,0,0
28-04-2026-direct-cold-0008,WASM,cold,no,1,,,2018,2494,1973,4468,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:02:46.453601,,0,1,10268,0,0
28-04-2026-direct-cold-0009,WASM,cold,no,1,,,2014,2452,2002,4455,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:03:03.336898,,0,1,10325,0,0
28-04-2026-direct-cold-0010,WASM,cold,no,1,,,2015,2482,1983,4466,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:03:19.978233,,0,1,10294,0,0
28-04-2026-direct-cold-0011,WASM,cold,no,1,,,2017,2742,2250,4993,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:03:37.201269,,0,1,10881,0,0
28-04-2026-direct-cold-0012,WASM,cold,no,1,,,2017,2529,1958,4488,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:03:53.923683,,0,1,10385,0,0
28-04-2026-direct-cold-0013,WASM,cold,no,1,,,2016,2481,1989,4471,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:04:10.495823,,0,1,10301,0,0
